id,category,neighborhood,income_band,severity,date_reported,date_resolved,resolution_days,status,citizen_feedback
1,pothole,Sector 4,medium,3,2026-03-04,2026-03-16,12,resolved,"Pothole filled with water, hard to see at night"
2,pothole,Sector 1,low,2,2026-03-01,2026-04-01,31,resolved,"Massive pothole near bus stop, elderly people struggling"
3,streetlight,Sector 3,medium,4,2026-05-31,2026-06-07,7,resolved,"Broken streetlight near park, safety concern at night"
4,streetlight,Sector 2,low,3,2026-01-27,2026-01-28,1,resolved,"Broken streetlight near park, safety concern at night"
5,pothole,Sector 4,medium,4,2026-05-18,2026-05-23,5,resolved,"Massive pothole near bus stop, elderly people struggling"
6,garbage,Sector 4,medium,5,2026-02-19,2026-03-23,32,resolved,"Garbage not collected for 3 days, attracting stray animals"
7,pothole,Sector 5,high,4,2026-03-13,2026-03-14,1,resolved,"Multiple potholes on residential street, damaging vehicles"
8,garbage,Sector 2,low,1,2026-06-05,2026-06-22,17,resolved,Missed garbage pickup again this week
9,road_damage,Sector 2,low,5,2026-02-26,2026-03-09,11,resolved,"Road markings completely faded, confusing for drivers"
10,pothole,Sector 3,medium,2,2026-05-26,2026-06-07,12,resolved,"Massive pothole near bus stop, elderly people struggling"
11,garbage,Sector 3,medium,2,2026-03-05,2026-03-19,14,resolved,Construction debris dumped on sidewalk blocking path
12,streetlight,Sector 3,medium,2,2026-05-11,2026-05-17,6,resolved,Flickering streetlight causing visibility issues
13,water_leak,Sector 5,high,5,2026-01-17,2026-01-19,2,resolved,"Fire hydrant leaking for days, water wasted"
14,pothole,Sector 6,high,1,2026-06-24,2026-06-27,3,resolved,Large pothole on main road causing traffic issues
15,streetlight,Sector 2,low,4,2026-01-01,2026-01-19,18,resolved,"Streetlight not working for 2 weeks, area is very dark"
16,garbage,Sector 6,high,5,2026-06-05,2026-06-06,1,resolved,Construction debris dumped on sidewalk blocking path
17,noise,Sector 6,high,3,2026-05-06,2026-05-09,3,resolved,Industrial noise from factory affecting residential area
18,streetlight,Sector 2,low,5,2026-01-21,2026-01-25,4,resolved,Streetlight pole leaning dangerously after storm
19,streetlight,Sector 5,high,4,2026-05-21,2026-05-25,4,resolved,Flickering streetlight causing visibility issues
20,road_damage,Sector 6,high,2,2026-03-21,2026-03-24,3,resolved,Manhole cover missing on busy road
21,water_leak,Sector 6,high,1,2026-03-05,2026-03-10,5,resolved,Water pressure very low in entire neighborhood
22,streetlight,Sector 2,low,1,2026-01-19,2026-01-31,12,resolved,"Broken streetlight near park, safety concern at night"
23,streetlight,Sector 1,low,3,2026-06-21,,,pending,Multiple streetlights out on entire block
24,streetlight,Sector 5,high,1,2026-01-25,2026-01-30,5,resolved,Multiple streetlights out on entire block
25,pothole,Sector 6,high,1,2026-01-16,2026-01-17,1,resolved,"Deep pothole near school zone, very dangerous for children"
26,noise,Sector 1,low,4,2026-02-05,2026-02-24,19,resolved,Noise from late-night deliveries to nearby warehouse
27,road_damage,Sector 1,low,5,2026-01-04,2026-01-23,19,resolved,Manhole cover missing on busy road
28,water_leak,Sector 2,low,1,2026-02-12,2026-03-02,18,resolved,"Sewage backup in residential area, terrible smell"
29,road_damage,Sector 2,low,5,2026-06-19,,,pending,Road caved in near drainage area
30,pothole,Sector 5,high,3,2026-01-15,2026-01-19,4,resolved,"Pothole has been growing for weeks, no action taken"
31,noise,Sector 6,high,2,2026-01-15,2026-01-17,2,resolved,Construction noise past 10 PM violating regulations
32,road_damage,Sector 4,medium,2,2026-04-14,2026-04-21,7,resolved,Road surface crumbling after recent rains
33,water_leak,Sector 4,medium,5,2026-05-25,2026-06-01,7,resolved,"Fire hydrant leaking for days, water wasted"
34,water_leak,Sector 2,low,2,2026-06-21,,,pending,"Sewage backup in residential area, terrible smell"
35,noise,Sector 4,medium,1,2026-01-19,2026-01-25,6,resolved,Construction noise past 10 PM violating regulations
36,garbage,Sector 6,high,3,2026-02-10,2026-02-13,3,resolved,Construction debris dumped on sidewalk blocking path
37,road_damage,Sector 6,high,5,2026-01-03,2026-01-04,1,resolved,"Road markings completely faded, confusing for drivers"
38,pothole,Sector 1,low,5,2026-02-09,2026-03-03,22,resolved,"Multiple potholes on residential street, damaging vehicles"
39,garbage,Sector 3,medium,1,2026-01-24,,,in_progress,"Overflowing community dumpster, bad smell in neighborhood"
40,garbage,Sector 4,medium,2,2026-04-24,2026-04-28,4,resolved,Waste bins damaged and need replacement
41,noise,Sector 6,high,1,2026-04-05,2026-04-07,2,resolved,Construction noise past 10 PM violating regulations
42,pothole,Sector 2,low,3,2026-02-23,2026-03-16,21,resolved,"Pothole filled with water, hard to see at night"
43,road_damage,Sector 6,high,2,2026-03-02,2026-03-04,2,resolved,Manhole cover missing on busy road
44,road_damage,Sector 1,low,3,2026-04-16,2026-05-05,19,resolved,Uneven road surface causing accidents for two-wheelers
45,pothole,Sector 1,low,4,2026-02-26,2026-03-20,22,resolved,"Deep pothole near school zone, very dangerous for children"
46,road_damage,Sector 2,low,2,2026-04-13,2026-05-01,18,resolved,Road caved in near drainage area
47,noise,Sector 3,medium,3,2026-01-08,2026-01-15,7,resolved,Industrial noise from factory affecting residential area
48,noise,Sector 1,low,4,2026-03-30,2026-04-27,28,resolved,Noise from late-night deliveries to nearby warehouse
49,pothole,Sector 1,low,4,2026-01-01,2026-01-18,17,resolved,"Massive pothole near bus stop, elderly people struggling"
50,noise,Sector 6,high,3,2026-06-19,2026-06-22,3,resolved,Noise from late-night deliveries to nearby warehouse
51,water_leak,Sector 2,low,3,2026-04-14,2026-04-30,16,resolved,"Sewage backup in residential area, terrible smell"
52,streetlight,Sector 4,medium,5,2026-05-26,2026-05-30,4,resolved,Flickering streetlight causing visibility issues
53,noise,Sector 3,medium,5,2026-06-17,2026-06-25,8,resolved,Generator noise from building affecting nearby homes
54,pothole,Sector 1,low,3,2026-05-12,2026-05-26,14,resolved,"Deep pothole near school zone, very dangerous for children"
55,streetlight,Sector 4,medium,2,2026-02-07,2026-02-09,2,resolved,Streetlight pole leaning dangerously after storm
56,pothole,Sector 5,high,4,2026-04-17,2026-04-21,4,resolved,"Pothole filled with water, hard to see at night"
57,streetlight,Sector 3,medium,2,2026-06-17,2026-06-23,6,resolved,Flickering streetlight causing visibility issues
58,road_damage,Sector 1,low,5,2026-04-29,2026-05-01,2,resolved,Road surface crumbling after recent rains
59,water_leak,Sector 3,medium,5,2026-05-24,2026-06-05,12,resolved,Drain blocked causing water accumulation on road
60,water_leak,Sector 6,high,5,2026-04-25,2026-04-27,2,resolved,"Fire hydrant leaking for days, water wasted"
61,road_damage,Sector 5,high,3,2026-05-14,2026-05-19,5,resolved,Road surface crumbling after recent rains
62,streetlight,Sector 5,high,3,2026-03-27,2026-03-30,3,resolved,Flickering streetlight causing visibility issues
63,road_damage,Sector 2,low,2,2026-06-30,,,in_progress,Manhole cover missing on busy road
64,water_leak,Sector 1,low,4,2026-05-30,,,in_progress,"Sewage backup in residential area, terrible smell"
65,garbage,Sector 1,low,3,2026-04-10,2026-05-05,25,resolved,Waste bins damaged and need replacement
66,noise,Sector 3,medium,2,2026-05-05,2026-05-10,5,resolved,Generator noise from building affecting nearby homes
67,water_leak,Sector 4,medium,2,2026-04-30,,,in_progress,"Sewage backup in residential area, terrible smell"
68,road_damage,Sector 4,medium,1,2026-01-22,2026-02-02,11,resolved,"Road markings completely faded, confusing for drivers"
69,streetlight,Sector 2,low,4,2026-03-25,2026-04-11,17,resolved,"Streetlight not working for 2 weeks, area is very dark"
70,road_damage,Sector 3,medium,5,2026-01-14,2026-01-20,6,resolved,Uneven road surface causing accidents for two-wheelers
71,pothole,Sector 1,low,2,2026-02-21,2026-03-12,19,resolved,"Massive pothole near bus stop, elderly people struggling"
72,streetlight,Sector 1,low,4,2026-06-29,,,in_progress,"Streetlight not working for 2 weeks, area is very dark"
73,garbage,Sector 4,medium,5,2026-06-23,2026-06-30,7,resolved,Waste bins damaged and need replacement
74,streetlight,Sector 5,high,1,2026-06-28,,,pending,Streetlight pole leaning dangerously after storm
75,garbage,Sector 5,high,5,2026-04-20,2026-04-25,5,resolved,"Garbage not collected for 3 days, attracting stray animals"
76,water_leak,Sector 5,high,1,2026-04-21,2026-04-26,5,resolved,Drain blocked causing water accumulation on road
77,streetlight,Sector 1,low,5,2026-06-16,,,in_progress,"No lighting on pedestrian crossing, very unsafe"
78,garbage,Sector 4,medium,2,2026-01-23,2026-02-03,11,resolved,Waste bins damaged and need replacement
79,pothole,Sector 2,low,4,2026-03-25,2026-04-11,17,resolved,"Pothole has been growing for weeks, no action taken"
80,garbage,Sector 4,medium,5,2026-01-03,2026-01-10,7,resolved,Missed garbage pickup again this week
81,streetlight,Sector 4,medium,4,2026-06-15,2026-06-19,4,resolved,Flickering streetlight causing visibility issues
82,streetlight,Sector 3,medium,3,2026-06-19,,,in_progress,Multiple streetlights out on entire block
83,noise,Sector 6,high,3,2026-04-01,2026-04-04,3,resolved,Loud music from commercial establishment every weekend
84,streetlight,Sector 1,low,3,2026-01-31,2026-02-17,17,resolved,"No lighting on pedestrian crossing, very unsafe"
85,road_damage,Sector 3,medium,5,2026-05-15,2026-05-23,8,resolved,"Road markings completely faded, confusing for drivers"
86,pothole,Sector 1,low,5,2026-02-02,2026-02-23,21,resolved,"Pothole filled with water, hard to see at night"
87,pothole,Sector 1,low,5,2026-03-14,2026-03-31,17,resolved,"Pothole filled with water, hard to see at night"
88,pothole,Sector 1,low,4,2026-05-06,2026-05-07,1,resolved,"Pothole has been growing for weeks, no action taken"
89,pothole,Sector 6,high,2,2026-01-31,2026-02-05,5,resolved,"Pothole has been growing for weeks, no action taken"
90,noise,Sector 2,low,4,2026-04-26,2026-05-18,22,resolved,Construction noise past 10 PM violating regulations
91,road_damage,Sector 4,medium,1,2026-02-23,2026-02-28,5,resolved,"Speed breaker too high, vehicles getting stuck"
92,streetlight,Sector 4,medium,1,2026-04-15,,,in_progress,"Broken streetlight near park, safety concern at night"
93,road_damage,Sector 4,medium,4,2026-01-19,2026-01-26,7,resolved,Road caved in near drainage area
94,streetlight,Sector 2,low,3,2026-02-06,2026-02-08,2,resolved,Streetlight pole leaning dangerously after storm
95,noise,Sector 5,high,3,2026-04-23,2026-04-30,7,resolved,Constant honking at intersection due to broken signal
96,noise,Sector 6,high,5,2026-05-07,2026-05-08,1,resolved,Industrial noise from factory affecting residential area
97,pothole,Sector 4,medium,1,2026-02-28,2026-03-04,4,resolved,"Massive pothole near bus stop, elderly people struggling"
98,noise,Sector 5,high,1,2026-02-14,2026-02-18,4,resolved,Loud music from commercial establishment every weekend
99,water_leak,Sector 6,high,4,2026-01-24,2026-01-25,1,resolved,Water main break flooding the street
100,garbage,Sector 5,high,4,2026-06-27,2026-06-29,2,resolved,"Garbage not collected for 3 days, attracting stray animals"
101,garbage,Sector 3,medium,3,2026-03-24,2026-04-06,13,resolved,"Garbage not collected for 3 days, attracting stray animals"
102,noise,Sector 4,medium,4,2026-04-16,2026-04-21,5,resolved,Constant honking at intersection due to broken signal
103,pothole,Sector 4,medium,2,2026-03-10,2026-03-21,11,resolved,"Pothole filled with water, hard to see at night"
104,road_damage,Sector 1,low,5,2026-03-03,,,pending,Manhole cover missing on busy road
105,road_damage,Sector 6,high,2,2026-05-08,2026-05-11,3,resolved,Manhole cover missing on busy road
106,water_leak,Sector 5,high,2,2026-04-27,2026-05-03,6,resolved,Water pressure very low in entire neighborhood
107,streetlight,Sector 5,high,1,2026-03-12,2026-03-16,4,resolved,Streetlight pole leaning dangerously after storm
108,pothole,Sector 2,low,3,2026-03-18,2026-04-12,25,resolved,"Pothole filled with water, hard to see at night"
109,garbage,Sector 3,medium,3,2026-05-22,2026-06-01,10,resolved,Waste bins damaged and need replacement
110,water_leak,Sector 2,low,2,2026-04-16,2026-04-20,4,resolved,"Sewage backup in residential area, terrible smell"
111,road_damage,Sector 3,medium,2,2026-05-07,2026-05-21,14,resolved,Road surface crumbling after recent rains
112,water_leak,Sector 6,high,1,2026-05-15,2026-06-13,29,resolved,"Sewage backup in residential area, terrible smell"
113,streetlight,Sector 6,high,1,2026-05-01,2026-05-06,5,resolved,"No lighting on pedestrian crossing, very unsafe"
114,pothole,Sector 3,medium,3,2026-06-22,,,in_progress,"Pothole has been growing for weeks, no action taken"
115,pothole,Sector 1,low,2,2026-06-11,2026-06-30,19,resolved,"Pothole filled with water, hard to see at night"
116,road_damage,Sector 6,high,1,2026-04-24,2026-04-25,1,resolved,Road surface crumbling after recent rains
117,pothole,Sector 2,low,3,2026-04-02,2026-04-25,23,resolved,"Deep pothole near school zone, very dangerous for children"
118,pothole,Sector 1,low,5,2026-04-08,2026-04-24,16,resolved,"Multiple potholes on residential street, damaging vehicles"
119,road_damage,Sector 3,medium,1,2026-04-30,2026-05-07,7,resolved,"Road markings completely faded, confusing for drivers"
120,garbage,Sector 6,high,4,2026-06-26,2026-06-27,1,resolved,Missed garbage pickup again this week
121,water_leak,Sector 1,low,5,2026-04-02,2026-04-23,21,resolved,Drain blocked causing water accumulation on road
122,pothole,Sector 3,medium,5,2026-06-25,,,in_progress,"Multiple potholes on residential street, damaging vehicles"
123,streetlight,Sector 5,high,5,2026-04-01,2026-04-02,1,resolved,"No lighting on pedestrian crossing, very unsafe"
124,road_damage,Sector 5,high,2,2026-06-10,2026-06-11,1,resolved,"Road markings completely faded, confusing for drivers"
125,pothole,Sector 5,high,5,2026-04-04,2026-04-06,2,resolved,"Massive pothole near bus stop, elderly people struggling"
126,streetlight,Sector 3,medium,2,2026-05-19,2026-06-01,13,resolved,Flickering streetlight causing visibility issues
127,water_leak,Sector 2,low,3,2026-03-28,2026-04-09,12,resolved,Persistent water leak from underground pipe
128,road_damage,Sector 6,high,4,2026-05-23,2026-05-24,1,resolved,Road caved in near drainage area
129,garbage,Sector 1,low,3,2026-05-30,,,pending,Missed garbage pickup again this week
130,noise,Sector 1,low,3,2026-06-06,,,in_progress,Generator noise from building affecting nearby homes
131,streetlight,Sector 3,medium,1,2026-01-10,2026-01-16,6,resolved,Streetlight pole leaning dangerously after storm
132,water_leak,Sector 1,low,3,2026-06-21,,,pending,"Sewage backup in residential area, terrible smell"
133,water_leak,Sector 4,medium,5,2026-04-15,2026-04-24,9,resolved,"Sewage backup in residential area, terrible smell"
134,garbage,Sector 6,high,1,2026-06-25,2026-06-28,3,resolved,"Garbage not collected for 3 days, attracting stray animals"
135,streetlight,Sector 3,medium,1,2026-04-27,2026-04-29,2,resolved,Streetlight pole leaning dangerously after storm
136,pothole,Sector 6,high,3,2026-03-04,2026-03-06,2,resolved,Large pothole on main road causing traffic issues
137,noise,Sector 5,high,2,2026-05-31,2026-06-04,4,resolved,Loud music from commercial establishment every weekend
138,noise,Sector 5,high,1,2026-03-12,2026-03-15,3,resolved,Noise from late-night deliveries to nearby warehouse
139,streetlight,Sector 2,low,1,2026-06-19,,,pending,Streetlight pole leaning dangerously after storm
140,streetlight,Sector 2,low,3,2026-01-14,2026-01-27,13,resolved,Multiple streetlights out on entire block
141,garbage,Sector 3,medium,5,2026-06-01,,,in_progress,Waste bins damaged and need replacement
142,water_leak,Sector 3,medium,1,2026-01-16,2026-01-27,11,resolved,"Sewage backup in residential area, terrible smell"
143,water_leak,Sector 5,high,1,2026-01-21,2026-01-24,3,resolved,"Fire hydrant leaking for days, water wasted"
144,noise,Sector 4,medium,5,2026-03-25,2026-04-02,8,resolved,Noise from late-night deliveries to nearby warehouse
145,road_damage,Sector 3,medium,1,2026-06-17,2026-06-25,8,resolved,"Speed breaker too high, vehicles getting stuck"
146,water_leak,Sector 3,medium,4,2026-04-17,2026-04-27,10,resolved,"Fire hydrant leaking for days, water wasted"
147,road_damage,Sector 6,high,4,2026-01-18,2026-01-19,1,resolved,Road surface crumbling after recent rains
148,road_damage,Sector 3,medium,3,2026-02-03,2026-02-16,13,resolved,Uneven road surface causing accidents for two-wheelers
149,garbage,Sector 1,low,4,2026-01-14,2026-02-06,23,resolved,"Overflowing community dumpster, bad smell in neighborhood"
150,water_leak,Sector 1,low,2,2026-01-28,2026-02-12,15,resolved,Water pressure very low in entire neighborhood
151,water_leak,Sector 2,low,5,2026-06-09,,,in_progress,Drain blocked causing water accumulation on road
152,garbage,Sector 5,high,3,2026-01-02,2026-01-09,7,resolved,Missed garbage pickup again this week
153,road_damage,Sector 1,low,1,2026-01-24,2026-02-18,25,resolved,"Speed breaker too high, vehicles getting stuck"
154,road_damage,Sector 2,low,3,2026-05-26,2026-06-09,14,resolved,Road caved in near drainage area
155,pothole,Sector 1,low,3,2026-04-24,2026-05-20,26,resolved,"Deep pothole near school zone, very dangerous for children"
156,pothole,Sector 5,high,3,2026-04-21,2026-04-27,6,resolved,"Pothole filled with water, hard to see at night"
157,garbage,Sector 3,medium,1,2026-02-26,2026-03-03,5,resolved,"Overflowing community dumpster, bad smell in neighborhood"
158,garbage,Sector 5,high,3,2026-03-25,2026-03-30,5,resolved,"Overflowing community dumpster, bad smell in neighborhood"
159,noise,Sector 1,low,2,2026-05-09,,,pending,Constant honking at intersection due to broken signal
160,pothole,Sector 1,low,3,2026-05-28,2026-06-22,25,resolved,"Pothole filled with water, hard to see at night"
161,garbage,Sector 1,low,2,2026-06-08,,,pending,Missed garbage pickup again this week
162,streetlight,Sector 5,high,4,2026-05-31,2026-06-01,1,resolved,"Broken streetlight near park, safety concern at night"
163,streetlight,Sector 2,low,1,2026-05-11,2026-05-27,16,resolved,"Broken streetlight near park, safety concern at night"
164,road_damage,Sector 2,low,2,2026-03-02,2026-03-17,15,resolved,Uneven road surface causing accidents for two-wheelers
165,road_damage,Sector 1,low,4,2026-04-29,2026-05-24,25,resolved,Uneven road surface causing accidents for two-wheelers
166,water_leak,Sector 2,low,1,2026-05-01,2026-05-19,18,resolved,"Fire hydrant leaking for days, water wasted"
167,garbage,Sector 3,medium,4,2026-04-26,2026-04-29,3,resolved,"Garbage not collected for 3 days, attracting stray animals"
